client_id,rep_id,territory,drug,drug_class,month,rx_volume,target_rx,calls_made,samples_distributed
CLT001,REP16,TER-E1,Sertraline,CNS,2024-03-01,480,570,56,42
CLT001,REP16,TER-E1,Sertraline,CNS,2024-04-01,676,570,70,33
CLT001,REP16,TER-E1,Sertraline,CNS,2024-05-01,685,570,51,33
CLT001,REP16,TER-E1,Sertraline,CNS,2024-06-01,733,570,60,21
CLT001,REP16,TER-E1,Sertraline,CNS,2024-07-01,699,570,68,46
CLT001,REP16,TER-E1,Sertraline,CNS,2024-08-01,579,570,68,26
CLT001,REP16,TER-E1,Sertraline,CNS,2024-09-01,603,570,51,42
CLT001,REP16,TER-E1,Sertraline,CNS,2024-10-01,577,570,20,28
CLT001,REP16,TER-E1,Sertraline,CNS,2024-11-01,563,570,45,41
CLT001,REP16,TER-E1,Sertraline,CNS,2024-12-01,623,570,25,41
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-01-01,365,491,57,33
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-02-01,442,491,24,43
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-03-01,473,491,67,25
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-04-01,574,491,52,18
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-05-01,475,491,48,12
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-06-01,504,491,39,45
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-07-01,521,491,38,29
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-08-01,484,491,51,16
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-09-01,486,491,58,27
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-10-01,401,491,59,10
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-11-01,447,491,69,32
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2022-12-01,429,491,50,39
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-01-01,379,491,35,35
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-02-01,467,491,67,11
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-03-01,517,491,74,18
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-04-01,524,491,60,44
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-05-01,582,491,39,33
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-06-01,580,491,73,42
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-07-01,521,491,27,45
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-08-01,537,491,57,49
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-09-01,504,491,48,27
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-10-01,431,491,65,27
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-11-01,333,491,60,45
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2023-12-01,397,491,52,13
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-01-01,410,491,39,17
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-02-01,424,491,26,12
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-03-01,539,491,31,31
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-04-01,629,491,74,31
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-05-01,617,491,46,36
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-06-01,578,491,53,30
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-07-01,709,491,52,14
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-08-01,560,491,79,28
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-09-01,581,491,36,37
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-10-01,498,491,49,38
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-11-01,478,491,79,46
CLT001,REP16,TER-E1,Amlodipine,Cardiovascular,2024-12-01,434,491,43,38
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-01-01,624,741,71,30
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-02-01,652,741,51,32
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-03-01,700,741,37,34
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-04-01,656,741,61,40
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-05-01,732,741,46,11
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-06-01,916,741,45,26
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-07-01,843,741,61,35
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-08-01,888,741,54,34
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-09-01,684,741,26,45
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-10-01,686,741,64,29
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-11-01,706,741,35,23
CLT001,REP16,TER-E1,Pantoprazole,GI,2022-12-01,676,741,31,32
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-01-01,648,741,51,32
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-02-01,666,741,41,34
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-03-01,757,741,68,15
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-04-01,817,741,34,46
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-05-01,959,741,63,14
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-06-01,881,741,58,13
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-07-01,834,741,49,44
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-08-01,851,741,74,49
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-09-01,644,741,36,28
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-10-01,725,741,47,35
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-11-01,702,741,72,10
CLT001,REP16,TER-E1,Pantoprazole,GI,2023-12-01,708,741,77,10
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-01-01,596,741,73,34
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-02-01,707,741,59,10
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-03-01,924,741,74,12
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-04-01,923,741,31,35
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-05-01,991,741,76,38
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-06-01,868,741,33,37
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-07-01,940,741,31,25
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-08-01,921,741,45,35
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-09-01,600,741,52,39
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-10-01,691,741,56,32
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-11-01,693,741,29,28
CLT001,REP16,TER-E1,Pantoprazole,GI,2024-12-01,727,741,77,41
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-01-01,479,579,21,37
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-02-01,495,579,51,36
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-03-01,557,579,54,42
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-04-01,622,579,52,46
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-05-01,662,579,59,19
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-06-01,642,579,62,38
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-07-01,588,579,27,38
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-08-01,595,579,45,19
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-09-01,520,579,72,20
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-10-01,494,579,48,45
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-11-01,498,579,55,19
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2022-12-01,469,579,56,18
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-01-01,558,579,54,45
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-02-01,588,579,37,48
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-03-01,610,579,51,46
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-04-01,619,579,31,22
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-05-01,598,579,49,26
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-06-01,698,579,68,29
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-07-01,621,579,78,28
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-08-01,666,579,68,45
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-09-01,566,579,33,40
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-10-01,511,579,71,28
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-11-01,473,579,24,44
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2023-12-01,498,579,31,34
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-01-01,453,579,72,32
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-02-01,559,579,35,48
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-03-01,594,579,58,23
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-04-01,596,579,50,14
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-05-01,695,579,30,27
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-06-01,785,579,66,21
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-07-01,732,579,36,47
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-08-01,679,579,26,22
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-09-01,585,579,46,11
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-10-01,505,579,24,38
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-11-01,473,579,71,26
CLT001,REP16,TER-E1,Atorvastatin,Cardiovascular,2024-12-01,466,579,26,34
CLT001,REP17,TER-E1,Sertraline,CNS,2022-01-01,285,332,63,48
CLT001,REP17,TER-E1,Sertraline,CNS,2022-02-01,355,332,46,19
CLT001,REP17,TER-E1,Sertraline,CNS,2022-03-01,327,332,47,29
CLT001,REP17,TER-E1,Sertraline,CNS,2022-04-01,362,332,47,17
CLT001,REP17,TER-E1,Sertraline,CNS,2022-05-01,393,332,20,12
CLT001,REP17,TER-E1,Sertraline,CNS,2022-06-01,366,332,32,37
CLT001,REP17,TER-E1,Sertraline,CNS,2022-07-01,383,332,68,34
CLT001,REP17,TER-E1,Sertraline,CNS,2022-08-01,381,332,75,42
CLT001,REP17,TER-E1,Sertraline,CNS,2022-09-01,352,332,56,45
CLT001,REP17,TER-E1,Sertraline,CNS,2022-10-01,321,332,54,28
CLT001,REP17,TER-E1,Sertraline,CNS,2022-11-01,304,332,60,23
CLT001,REP17,TER-E1,Sertraline,CNS,2022-12-01,310,332,34,40
CLT001,REP17,TER-E1,Sertraline,CNS,2023-01-01,341,332,30,21
CLT001,REP17,TER-E1,Sertraline,CNS,2023-02-01,309,332,29,41
CLT001,REP17,TER-E1,Sertraline,CNS,2023-03-01,351,332,43,37
CLT001,REP17,TER-E1,Sertraline,CNS,2023-04-01,365,332,72,17
CLT001,REP17,TER-E1,Sertraline,CNS,2023-05-01,420,332,27,37
CLT001,REP17,TER-E1,Sertraline,CNS,2023-06-01,380,332,47,46
CLT001,REP17,TER-E1,Sertraline,CNS,2023-07-01,420,332,52,29
CLT001,REP17,TER-E1,Sertraline,CNS,2023-08-01,450,332,32,37
CLT001,REP17,TER-E1,Sertraline,CNS,2023-09-01,346,332,54,15
CLT001,REP17,TER-E1,Sertraline,CNS,2023-10-01,328,332,37,14
CLT001,REP17,TER-E1,Sertraline,CNS,2023-11-01,287,332,75,39
CLT001,REP17,TER-E1,Sertraline,CNS,2023-12-01,361,332,69,14
CLT001,REP17,TER-E1,Sertraline,CNS,2024-01-01,322,332,20,27
CLT001,REP17,TER-E1,Sertraline,CNS,2024-02-01,338,332,51,20
CLT001,REP17,TER-E1,Sertraline,CNS,2024-03-01,324,332,41,36
CLT001,REP17,TER-E1,Sertraline,CNS,2024-04-01,449,332,68,22
CLT001,REP17,TER-E1,Sertraline,CNS,2024-05-01,435,332,24,40
CLT001,REP17,TER-E1,Sertraline,CNS,2024-06-01,420,332,24,47
CLT001,REP17,TER-E1,Sertraline,CNS,2024-07-01,437,332,72,46
CLT001,REP17,TER-E1,Sertraline,CNS,2024-08-01,439,332,29,19
CLT001,REP17,TER-E1,Sertraline,CNS,2024-09-01,343,332,28,10
CLT001,REP17,TER-E1,Sertraline,CNS,2024-10-01,339,332,70,22
CLT001,REP17,TER-E1,Sertraline,CNS,2024-11-01,347,332,59,41
CLT001,REP17,TER-E1,Sertraline,CNS,2024-12-01,325,332,53,37
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-01-01,262,274,73,12
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-02-01,319,274,78,21
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-03-01,284,274,42,24
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-04-01,387,274,56,30
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-05-01,371,274,58,47
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-06-01,362,274,79,43
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-07-01,372,274,49,24
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-08-01,282,274,46,43
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-09-01,312,274,43,24
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-10-01,235,274,79,39
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-11-01,291,274,24,38
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2022-12-01,271,274,23,19
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-01-01,272,274,79,29
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-02-01,309,274,43,14
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-03-01,315,274,32,20
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-04-01,352,274,70,32
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-05-01,370,274,59,13
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-06-01,340,274,75,34
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-07-01,361,274,48,41
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-08-01,374,274,69,28
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-09-01,311,274,61,31
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-10-01,327,274,40,15
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-11-01,282,274,45,43
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2023-12-01,256,274,68,23
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-01-01,259,274,45,31
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-02-01,278,274,66,39
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-03-01,323,274,36,35
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-04-01,329,274,55,10
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-05-01,385,274,71,24
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-06-01,364,274,66,31
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-07-01,407,274,33,33
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-08-01,343,274,21,35
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-09-01,358,274,65,27
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-10-01,326,274,77,47
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-11-01,261,274,44,46
CLT001,REP17,TER-E1,Amlodipine,Cardiovascular,2024-12-01,299,274,47,19
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-01-01,197,237,63,34
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-02-01,203,237,36,22
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-03-01,274,237,22,27
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-04-01,279,237,66,45
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-05-01,327,237,27,49
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-06-01,304,237,68,28
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-07-01,244,237,71,35
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-08-01,241,237,53,15
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-09-01,220,237,41,30
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-10-01,241,237,25,15
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-11-01,207,237,30,39
CLT001,REP17,TER-E1,Pantoprazole,GI,2022-12-01,206,237,50,33
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-01-01,176,237,55,33
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-02-01,248,237,50,15
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-03-01,263,237,23,24
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-04-01,274,237,25,39
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-05-01,303,237,76,11
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-06-01,275,237,34,20
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-07-01,255,237,63,14
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-08-01,293,237,25,35
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-09-01,246,237,52,29
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-10-01,209,237,68,21
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-11-01,235,237,57,46
CLT001,REP17,TER-E1,Pantoprazole,GI,2023-12-01,210,237,30,45
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-01-01,249,237,25,19
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-02-01,215,237,24,32
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-03-01,239,237,59,11
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-04-01,297,237,39,10
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-05-01,306,237,57,44
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-06-01,288,237,49,40
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-07-01,314,237,31,44
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-08-01,298,237,54,10
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-09-01,288,237,48,17
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-10-01,290,237,30,46
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-11-01,233,237,40,46
CLT001,REP17,TER-E1,Pantoprazole,GI,2024-12-01,230,237,24,28
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-01-01,494,630,61,34
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-02-01,566,630,37,49
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-03-01,669,630,51,47
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-04-01,613,630,52,32
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-05-01,776,630,36,42
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-06-01,598,630,66,11
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-07-01,724,630,70,48
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-08-01,651,630,70,15
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-09-01,611,630,27,24
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-10-01,586,630,66,38
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-11-01,602,630,46,45
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2022-12-01,519,630,48,47
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-01-01,571,630,46,42
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-02-01,618,630,23,31
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-03-01,618,630,29,42
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-04-01,769,630,73,47
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-05-01,581,630,64,33
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-06-01,763,630,71,24
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-07-01,689,630,66,13
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-08-01,704,630,31,11
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-09-01,640,630,55,45
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-10-01,587,630,45,36
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-11-01,513,630,29,49
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2023-12-01,527,630,57,15
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-01-01,525,630,65,21
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-02-01,491,630,45,22
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-03-01,701,630,62,21
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-04-01,655,630,63,45
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-05-01,711,630,28,38
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-06-01,844,630,33,49
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-07-01,734,630,45,45
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-08-01,693,630,73,32
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-09-01,810,630,40,18
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-10-01,651,630,72,18
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-11-01,620,630,45,44
CLT001,REP17,TER-E1,Atorvastatin,Cardiovascular,2024-12-01,550,630,71,34
CLT001,REP05,TER-N2,Sertraline,CNS,2022-01-01,209,322,46,26
CLT001,REP05,TER-N2,Sertraline,CNS,2022-02-01,198,322,62,33
CLT001,REP05,TER-N2,Sertraline,CNS,2022-03-01,251,322,72,33
CLT001,REP05,TER-N2,Sertraline,CNS,2022-04-01,307,322,52,38
CLT001,REP05,TER-N2,Sertraline,CNS,2022-05-01,364,322,47,30
CLT001,REP05,TER-N2,Sertraline,CNS,2022-06-01,353,322,68,16
CLT001,REP05,TER-N2,Sertraline,CNS,2022-07-01,319,322,39,31
CLT001,REP05,TER-N2,Sertraline,CNS,2022-08-01,316,322,47,49
CLT001,REP05,TER-N2,Sertraline,CNS,2022-09-01,345,322,32,39
CLT001,REP05,TER-N2,Sertraline,CNS,2022-10-01,267,322,42,28
CLT001,REP05,TER-N2,Sertraline,CNS,2022-11-01,242,322,68,38
CLT001,REP05,TER-N2,Sertraline,CNS,2022-12-01,204,322,49,25
CLT001,REP05,TER-N2,Sertraline,CNS,2023-01-01,239,322,33,11
CLT001,REP05,TER-N2,Sertraline,CNS,2023-02-01,273,322,73,37
CLT001,REP05,TER-N2,Sertraline,CNS,2023-03-01,281,322,70,13
CLT001,REP05,TER-N2,Sertraline,CNS,2023-04-01,227,322,20,17
CLT001,REP05,TER-N2,Sertraline,CNS,2023-05-01,298,322,65,43
CLT001,REP05,TER-N2,Sertraline,CNS,2023-06-01,322,322,79,42
CLT001,REP05,TER-N2,Sertraline,CNS,2023-07-01,364,322,20,12
CLT001,REP05,TER-N2,Sertraline,CNS,2023-08-01,356,322,43,32
CLT001,REP05,TER-N2,Sertraline,CNS,2023-09-01,305,322,22,42
CLT001,REP05,TER-N2,Sertraline,CNS,2023-10-01,278,322,47,17
CLT001,REP05,TER-N2,Sertraline,CNS,2023-11-01,260,322,33,41
CLT001,REP05,TER-N2,Sertraline,CNS,2023-12-01,253,322,75,25
CLT001,REP05,TER-N2,Sertraline,CNS,2024-01-01,303,322,40,23
CLT001,REP05,TER-N2,Sertraline,CNS,2024-02-01,263,322,50,27
CLT001,REP05,TER-N2,Sertraline,CNS,2024-03-01,319,322,79,27
CLT001,REP05,TER-N2,Sertraline,CNS,2024-04-01,302,322,21,10
CLT001,REP05,TER-N2,Sertraline,CNS,2024-05-01,339,322,61,11
CLT001,REP05,TER-N2,Sertraline,CNS,2024-06-01,392,322,22,32
CLT001,REP05,TER-N2,Sertraline,CNS,2024-07-01,391,322,28,43
CLT001,REP05,TER-N2,Sertraline,CNS,2024-08-01,323,322,72,44
CLT001,REP05,TER-N2,Sertraline,CNS,2024-09-01,344,322,51,26
CLT001,REP05,TER-N2,Sertraline,CNS,2024-10-01,295,322,69,26
CLT001,REP05,TER-N2,Sertraline,CNS,2024-11-01,287,322,64,34
CLT001,REP05,TER-N2,Sertraline,CNS,2024-12-01,237,322,58,18
CLT001,REP05,TER-N2,Amlodipine,Cardiovascular,2022-01-01,417,548,64,43
